"","","","","","","","","bonf_res"
"293",0.036,0,1,0,0,0,0,0
"294",0,0,1,0,0,0,0,1
"295",0.1,0,0,0,1,0,0,1
"296",0,0,0,0,0,0,1,1
"297",0.012,1,0,0,0,0,0,1
"298",0.004,1,0,0,0,0,0,1
"299",0.004,1,0,0,0,0,0,1
"300",0.004,1,0,0,0,0,0,1
"301",0,0,0,1,0,0,0,1
"302",0.00800000000000001,0,0,0,1,0,0,1
"303",0,0,0,0,0,0,1,1
"304",0,0,0,0,0,0,1,1
"305",0,1,0,0,0,0,0,1
"306",0.052,1,0,0,0,0,0,1
"307",0.004,0,1,0,0,0,0,1
"308",0,1,0,0,0,0,0,1
"309",0.32,0,0,1,0,0,0,0
"310",0.004,0,0,0,0,0,1,1
"311",0,0,0,0,0,1,0,1
"312",0.004,1,0,0,0,0,0,1
"313",0.012,0,1,0,0,0,0,1
"314",0,0,0,0,0,0,1,1
"315",0.016,0,1,0,0,0,0,1
"316",0.004,1,0,0,0,0,0,1
"317",0.092,0,1,0,0,0,0,0
"318",0,0,0,0,0,0,1,1
"319",0.004,0,0,0,0,1,0,1
"320",0.00800000000000001,0,1,0,0,0,0,1
"321",0.164,0,1,0,0,0,0,1
"322",0,0,1,0,0,0,0,1
"323",0,0,1,0,0,0,0,1
"324",0,0,1,0,0,0,0,1
"325",0.004,0,0,0,1,0,0,1
"326",0.012,0,0,0,0,0,1,1
"327",0,1,0,0,0,0,0,1
"328",0.004,0,0,0,1,0,0,1
"329",0,0,1,0,0,0,0,1
"330",0.012,1,0,0,0,0,0,1
"331",0.004,0,0,0,0,1,0,1
"332",0,1,0,0,0,0,0,1
"333",0.004,1,0,0,0,0,0,1
"334",0,0,0,1,0,0,0,1
"335",0,0,1,0,0,0,0,1
"336",0,0,1,0,0,0,0,1
"337",0,1,0,0,0,0,0,1
"338",0.308,0,0,1,0,0,0,0
"339",0,1,0,0,0,0,0,1
"340",0,0,0,0,1,0,0,1
"341",0.156,0,0,0,0,1,0,0
"342",0.004,0,0,1,0,0,0,1
"343",0,0,0,0,1,0,0,1
"344",0.148,1,0,0,0,0,0,0
"345",0.088,0,1,0,0,0,0,0
"346",0,1,0,0,0,0,0,1
"347",0,0,1,0,0,0,0,1
"348",0,0,0,1,0,0,0,1
"349",0.004,0,0,0,0,0,1,1
"350",0,0,1,0,0,0,0,1
"351",0,0,1,0,0,0,0,1
"352",0.004,1,0,0,0,0,0,1
"353",0.00800000000000001,1,0,0,0,0,0,1
"354",0.00800000000000001,0,0,0,1,0,0,1
"355",0,1,0,0,0,0,0,1
"356",0.004,0,0,0,0,1,0,1
"357",0,1,0,0,0,0,0,1
"358",0,0,1,0,0,0,0,1
"359",0.112,0,0,0,0,1,0,1
"360",0.004,1,0,0,0,0,0,1
"361",0,0,1,0,0,0,0,1
"362",0,1,0,0,0,0,0,1
"363",0,0,0,0,1,0,0,1
"364",0,1,0,0,0,0,0,1
"365",0.00800000000000001,0,1,0,0,0,0,1
"366",0,0,0,0,0,0,1,1
"367",0.096,0,1,0,0,0,0,1
"368",0,0,0,0,0,0,1,1
"369",0.012,0,0,0,0,0,1,1
"370",0,1,0,0,0,0,0,1
"371",0,1,0,0,0,0,0,1
"372",0.212,0,1,0,0,0,0,0
"373",0.02,0,1,0,0,0,0,1
"374",0,1,0,0,0,0,0,1
"375",0.172,0,1,0,0,0,0,0
"376",0,1,0,0,0,0,0,1
"377",0,0,0,1,0,0,0,1
"378",0.116,1,0,0,0,0,0,0
"379",0,0,0,0,0,1,0,1
"380",0,0,0,1,0,0,0,1
"381",0.00800000000000001,1,0,0,0,0,0,1
"382",0,0,0,0,0,0,1,1
"383",0.004,0,1,0,0,0,0,1
"384",0.00800000000000001,0,0,0,0,0,1,1
"385",0.016,1,0,0,0,0,0,1
"386",0,1,0,0,0,0,0,1
"387",0.38,0,1,0,0,0,0,0
"388",0.004,0,1,0,0,0,0,1
"389",0.004,1,0,0,0,0,0,1
"390",0,0,0,1,0,0,0,1
"391",0,0,0,0,0,1,0,1
"392",0,1,0,0,0,0,0,1
"393",0.04,0,0,1,0,0,0,1
"394",0,0,1,0,0,0,0,1
"395",0,0,1,0,0,0,0,1
"396",0,1,0,0,0,0,0,1
"397",0,0,0,0,0,0,1,1
"398",0,1,0,0,0,0,0,1
"399",0,0,1,0,0,0,0,1
"400",0,0,1,0,0,0,0,1
