"","","","","","","","","bonf_res"
"284",0.572,0,1,0,0,0,0,0
"285",0.696,0,1,0,0,0,0,0
"286",0.156,1,0,0,0,0,0,0
"287",0.664,0,0,0,1,0,0,0
"288",0.076,0,1,0,0,0,0,0
"289",0.372,0,0,1,0,0,0,0
"290",0.224,0,1,0,0,0,0,0
"291",0.692,0,0,1,0,0,0,0
"292",0.544,0,1,0,0,0,0,0
"293",0.644,0,1,0,0,0,0,0
"294",0.252,1,0,0,0,0,0,0
"295",0.736,1,0,0,0,0,0,0
"296",0.864,0,0,0,0,0,1,0
"297",0.864,0,1,0,0,0,0,0
"298",0.34,0,0,1,0,0,0,0
"299",0.368,1,0,0,0,0,0,0
"300",0.628,0,0,1,0,0,0,0
"301",0.692,0,0,0,1,0,0,0
"302",0.048,0,1,0,0,0,0,0
"303",0.472,0,1,0,0,0,0,0
"304",0.096,1,0,0,0,0,0,0
"305",0.548,1,0,0,0,0,0,0
"306",0.516,0,1,0,0,0,0,0
"307",0.86,0,0,0,1,0,0,0
"308",0.752,0,0,0,0,1,0,0
"309",0.432,0,1,0,0,0,0,0
"310",0.796,0,0,1,0,0,0,0
"311",0.492,0,0,0,1,0,0,0
"312",0.656,0,1,0,0,0,0,0
"313",0.964,1,0,0,0,0,0,0
"314",0.512,1,0,0,0,0,0,0
"315",0.392,0,1,0,0,0,0,0
"316",0.072,1,0,0,0,0,0,0
"317",0.712,0,0,0,0,0,1,0
"318",0.988,0,1,0,0,0,0,0
"319",0.368,0,0,0,1,0,0,0
"320",0.28,0,0,0,0,0,1,0
"321",0.8,0,1,0,0,0,0,0
"322",0.488,0,0,0,1,0,0,0
"323",0.388,0,1,0,0,0,0,0
"324",0.6,0,1,0,0,0,0,0
"325",0.4,0,1,0,0,0,0,0
"326",0.92,0,1,0,0,0,0,0
"327",0.616,1,0,0,0,0,0,0
"328",0.456,0,1,0,0,0,0,0
"329",0.084,0,0,1,0,0,0,0
"330",0.532,0,1,0,0,0,0,0
"331",0.708,0,1,0,0,0,0,0
"332",0.388,0,1,0,0,0,0,0
"333",0.344,0,0,0,1,0,0,0
"334",0.424,0,1,0,0,0,0,0
"335",0.204,1,0,0,0,0,0,0
"336",0.96,1,0,0,0,0,0,0
"337",0.512,1,0,0,0,0,0,0
"338",0.232,0,1,0,0,0,0,0
"339",0.368,0,1,0,0,0,0,0
"340",0.588,0,0,0,0,1,0,0
"341",0.104,0,1,0,0,0,0,0
"342",0.576,1,0,0,0,0,0,0
"343",0.932,0,1,0,0,0,0,0
"344",0.628,0,0,1,0,0,0,0
"345",0.44,0,0,0,0,1,0,0
"346",0.232,0,1,0,0,0,0,0
"347",0.516,1,0,0,0,0,0,0
"348",0.932,0,0,1,0,0,0,0
"349",0.376,0,1,0,0,0,0,0
"350",0.568,0,1,0,0,0,0,0
"351",0.656,0,1,0,0,0,0,0
"352",0.464,0,1,0,0,0,0,0
"353",0.476,0,1,0,0,0,0,0
"354",0.848,0,0,0,0,0,1,0
"355",0.432,0,1,0,0,0,0,0
"356",0.616,0,1,0,0,0,0,0
"357",0.216,0,0,1,0,0,0,0
"358",0.18,0,1,0,0,0,0,0
"359",0.856,1,0,0,0,0,0,0
"360",0.912,0,0,1,0,0,0,0
"361",0.644,0,1,0,0,0,0,0
"362",0.98,0,1,0,0,0,0,0
"363",0.86,1,0,0,0,0,0,0
"364",0.636,1,0,0,0,0,0,0
"365",0.212,0,1,0,0,0,0,0
"366",0.664,0,0,0,0,0,1,0
"367",0.384,0,0,1,0,0,0,0
"368",0.404,1,0,0,0,0,0,0
"369",0.92,0,0,1,0,0,0,0
"370",0.928,0,1,0,0,0,0,0
"371",0.036,0,1,0,0,0,0,1
"372",0.144,1,0,0,0,0,0,0
"373",0.444,0,1,0,0,0,0,0
"374",0.132,0,1,0,0,0,0,0
"375",0.856,0,0,0,1,0,0,0
"376",0.244,0,0,1,0,0,0,0
"377",0.676,0,0,1,0,0,0,0
"378",0.396,0,1,0,0,0,0,0
"379",0.752,0,0,1,0,0,0,0
"380",0.524,1,0,0,0,0,0,0
"381",0.588,0,1,0,0,0,0,0
"382",0.052,0,0,0,0,0,1,0
"383",0.4,0,1,0,0,0,0,0
"384",0.608,0,1,0,0,0,0,0
"385",0.756,1,0,0,0,0,0,0
"386",0.792,0,1,0,0,0,0,0
"387",0.38,0,0,1,0,0,0,0
"388",0.208,0,0,1,0,0,0,0
"389",0.496,0,1,0,0,0,0,0
"390",0.28,0,0,1,0,0,0,0
"391",0.316,1,0,0,0,0,0,0
"392",0.024,0,1,0,0,0,0,1
"393",0.056,1,0,0,0,0,0,0
"394",0.356,1,0,0,0,0,0,0
"395",0.932,0,0,0,0,1,0,0
"396",0.768,0,0,1,0,0,0,0
"397",0.248,0,1,0,0,0,0,0
"398",0.532,0,0,1,0,0,0,0
"399",0.796,1,0,0,0,0,0,0
"400",0.568,0,0,1,0,0,0,0
