"","","","","","","","","bonf_res"
"300",0.32,0,1,0,0,0,0,0
"301",0.104,1,0,0,0,0,0,0
"302",0.172,0,1,0,0,0,0,0
"303",0.3,0,1,0,0,0,0,0
"304",0.004,0,1,0,0,0,0,1
"305",0.708,0,1,0,0,0,0,0
"306",0.144,0,0,1,0,0,0,0
"307",0.384,0,1,0,0,0,0,0
"308",0.516,0,1,0,0,0,0,0
"309",0.288,0,1,0,0,0,0,0
"310",0.332,0,1,0,0,0,0,0
"311",0.276,0,1,0,0,0,0,0
"312",0.172,1,0,0,0,0,0,0
"313",0.304,1,0,0,0,0,0,0
"314",0.556,1,0,0,0,0,0,0
"315",0.0679999999999999,0,1,0,0,0,0,0
"316",0.304,0,1,0,0,0,0,0
"317",0.012,0,1,0,0,0,0,1
"318",0.252,0,1,0,0,0,0,0
"319",0.384,1,0,0,0,0,0,0
"320",0.016,0,1,0,0,0,0,1
"321",0.036,1,0,0,0,0,0,0
"322",0.072,0,1,0,0,0,0,0
"323",0.628,1,0,0,0,0,0,0
"324",0.568,1,0,0,0,0,0,0
"325",0.34,1,0,0,0,0,0,0
"326",0.016,0,1,0,0,0,0,1
"327",0.368,1,0,0,0,0,0,0
"328",0.46,0,1,0,0,0,0,0
"329",0.344,0,1,0,0,0,0,0
"330",0.072,0,1,0,0,0,0,0
"331",0.136,1,0,0,0,0,0,0
"332",0.416,0,1,0,0,0,0,0
"333",0.708,1,0,0,0,0,0,0
"334",0.052,0,1,0,0,0,0,0
"335",0.076,0,1,0,0,0,0,0
"336",0.0639999999999999,0,1,0,0,0,0,0
"337",0.668,0,1,0,0,0,0,0
"338",0.912,0,0,1,0,0,0,0
"339",0.072,0,1,0,0,0,0,0
"340",0.616,0,1,0,0,0,0,0
"341",0.024,0,1,0,0,0,0,0
"342",0.012,0,1,0,0,0,0,1
"343",0.00800000000000001,0,1,0,0,0,0,1
"344",0.092,1,0,0,0,0,0,0
"345",0.548,0,1,0,0,0,0,0
"346",0.208,0,1,0,0,0,0,0
"347",0.0679999999999999,0,0,1,0,0,0,0
"348",0.904,0,1,0,0,0,0,0
"349",0.232,0,1,0,0,0,0,0
"350",0.892,0,1,0,0,0,0,0
"351",0.012,0,1,0,0,0,0,0
"352",0.076,0,1,0,0,0,0,0
"353",0.144,0,1,0,0,0,0,0
"354",0.072,0,1,0,0,0,0,1
"355",0.192,0,1,0,0,0,0,0
"356",0.256,0,1,0,0,0,0,0
"357",0.588,0,1,0,0,0,0,0
"358",0.892,0,1,0,0,0,0,0
"359",0.112,0,1,0,0,0,0,0
"360",0.024,0,1,0,0,0,0,1
"361",0.336,0,1,0,0,0,0,0
"362",0.236,0,1,0,0,0,0,0
"363",0,0,1,0,0,0,0,1
"364",0.012,0,1,0,0,0,0,0
"365",0.964,1,0,0,0,0,0,0
"366",0,1,0,0,0,0,0,1
"367",0.72,0,1,0,0,0,0,0
"368",0.00800000000000001,1,0,0,0,0,0,1
"369",0.3,0,1,0,0,0,0,0
"370",0.22,0,1,0,0,0,0,0
"371",0.084,0,1,0,0,0,0,0
"372",0.1,0,0,1,0,0,0,0
"373",0.052,0,0,1,0,0,0,0
"374",0.544,1,0,0,0,0,0,0
"375",0.104,1,0,0,0,0,0,0
"376",0.024,1,0,0,0,0,0,1
"377",0.1,0,1,0,0,0,0,0
"378",0.408,0,1,0,0,0,0,0
"379",0.172,0,1,0,0,0,0,0
"380",0.176,0,1,0,0,0,0,0
"381",0.4,1,0,0,0,0,0,0
"382",0.124,1,0,0,0,0,0,0
"383",0.288,0,1,0,0,0,0,0
"384",0,1,0,0,0,0,0,1
"385",0.736,0,1,0,0,0,0,0
"386",0.928,0,1,0,0,0,0,0
"387",0.08,0,1,0,0,0,0,0
"388",0.868,0,1,0,0,0,0,0
"389",0.296,0,1,0,0,0,0,0
"390",0.9,0,1,0,0,0,0,0
"391",0.34,1,0,0,0,0,0,0
"392",0.084,0,1,0,0,0,0,0
"393",0.24,0,1,0,0,0,0,0
"394",0.088,0,1,0,0,0,0,0
"395",0.116,0,1,0,0,0,0,0
"396",0.892,0,1,0,0,0,0,0
"397",0.708,1,0,0,0,0,0,0
"398",0.432,0,1,0,0,0,0,0
"399",0.208,0,1,0,0,0,0,0
"400",0.62,0,1,0,0,0,0,0
