"","","","","","","","","bonf_res"
"387",0.912,1,0,0,0,0,0,0
"388",0.868,0,1,0,0,0,0,0
"389",0.408,0,1,0,0,0,0,0
"390",0.588,1,0,0,0,0,0,0
"391",0.244,0,1,0,0,0,0,0
"392",0.212,0,1,0,0,0,0,0
"393",0.028,1,0,0,0,0,0,1
"394",0.276,0,1,0,0,0,0,0
"395",0.512,0,1,0,0,0,0,0
"396",0.044,0,1,0,0,0,0,0
"397",0.816,0,1,0,0,0,0,0
"398",0.604,1,0,0,0,0,0,0
"399",0.612,1,0,0,0,0,0,0
"400",0.884,0,1,0,0,0,0,0
